sequence,support_count,support
"<{22},{27}>",229,0.313699
"<{22},{35}>",242,0.331507
"<{22},{36}>",213,0.291781
"<{23},{117}>",249,0.341096
"<{23},{143}>",289,0.395890
"<{23},{144}>",217,0.297260
"<{23},{245}>",283,0.387671
"<{23},{246}>",217,0.297260
"<{23},{253}>",365,0.500000
"<{23},{26}>",215,0.294521
"<{23},{35}>",203,0.278082
"<{24},{143}>",209,0.286301
"<{24},{253}>",275,0.376712
"<{245},{246}>",282,0.386301
"<{245},{253}>",486,0.665753
"<{246},{253}>",392,0.536986
"<{25},{253}>",231,0.316438
"<{26},{110}>",292,0.400000
"<{26},{113}>",234,0.320548
"<{26},{117}>",440,0.602740
"<{26},{118}>",336,0.460274
"<{26},{132}>",251,0.343836
"<{26},{133}>",247,0.338356
"<{26},{139}>",261,0.357534
"<{26},{143}>",486,0.665753
"<{26},{144}>",354,0.484932
"<{26},{245}>",432,0.591781
"<{26},{246}>",348,0.476712
"<{26},{253}>",532,0.728767
"<{26},{27}>",377,0.516438
"<{26},{28}>",227,0.310959
"<{26},{29}>",219,0.300000
"<{26},{30}>",201,0.275342
"<{26},{31}>",276,0.378082
"<{26},{32}>",215,0.294521
"<{26},{33}>",202,0.276712
"<{26},{34}>",205,0.280822
"<{26},{35}>",388,0.531507
"<{26},{36}>",322,0.441096
"<{26},{38}>",202,0.276712
"<{26},{39}>",201,0.275342
"<{26},{41}>",235,0.321918
"<{26},{45}>",201,0.275342
"<{26},{78}>",279,0.382192
"<{26},{79}>",244,0.334247
"<{27},{110}>",224,0.306849
"<{27},{117}>",336,0.460274
"<{27},{118}>",263,0.360274
"<{27},{132}>",234,0.320548
"<{27},{139}>",214,0.293151
"<{27},{143}>",393,0.538356
"<{27},{144}>",308,0.421918
"<{27},{245}>",361,0.494521
"<{27},{246}>",276,0.378082
"<{27},{253}>",443,0.606849
"<{27},{28}>",201,0.275342
"<{27},{35}>",268,0.367123
"<{27},{36}>",247,0.338356
"<{28},{117}>",267,0.365753
"<{28},{143}>",316,0.432877
"<{28},{144}>",215,0.294521
"<{28},{245}>",253,0.346575
"<{28},{246}>",216,0.295890
"<{28},{253}>",368,0.504110
"<{28},{35}>",235,0.321918
"<{28},{36}>",217,0.297260
"<{29},{143}>",236,0.323288
"<{29},{245}>",219,0.300000
"<{29},{253}>",291,0.398630
"<{30},{143}>",210,0.287671
"<{30},{253}>",277,0.379452
"<{31},{117}>",242,0.331507
"<{31},{143}>",288,0.394521
"<{31},{144}>",213,0.291781
"<{31},{245}>",269,0.368493
"<{31},{246}>",229,0.313699
"<{31},{253}>",348,0.476712
"<{31},{35}>",229,0.313699
"<{32},{143}>",222,0.304110
"<{32},{245}>",217,0.297260
"<{32},{253}>",298,0.408219
"<{33},{253}>",254,0.347945
"<{34},{253}>",267,0.365753
"<{35},{110}>",294,0.402740
"<{35},{113}>",256,0.350685
"<{35},{117}>",431,0.590411
"<{35},{118}>",332,0.454795
"<{35},{132}>",216,0.295890
"<{35},{133}>",259,0.354795
"<{35},{139}>",267,0.365753
"<{35},{143}>",484,0.663014
"<{35},{144}>",337,0.461644
"<{35},{149}>",217,0.297260
"<{35},{245}>",407,0.557534
"<{35},{246}>",329,0.450685
"<{35},{253}>",527,0.721918
"<{35},{36}>",377,0.516438
"<{35},{41}>",200,0.273973
"<{35},{7}>",201,0.275342
"<{35},{78}>",288,0.394521
"<{35},{79}>",253,0.346575
"<{36},{110}>",256,0.350685
"<{36},{113}>",224,0.306849
"<{36},{117}>",374,0.512329
"<{36},{118}>",292,0.400000
"<{36},{133}>",225,0.308219
"<{36},{139}>",242,0.331507
"<{36},{143}>",430,0.589041
"<{36},{144}>",306,0.419178
"<{36},{149}>",201,0.275342
"<{36},{245}>",369,0.505479
"<{36},{246}>",275,0.376712
"<{36},{253}>",459,0.628767
"<{36},{78}>",237,0.324658
"<{36},{79}>",214,0.293151
"<{37},{143}>",220,0.301370
"<{37},{245}>",202,0.276712
"<{37},{253}>",285,0.390411
"<{38},{143}>",212,0.290411
"<{38},{245}>",207,0.283562
"<{38},{253}>",270,0.369863
"<{39},{143}>",203,0.278082
"<{39},{245}>",200,0.273973
"<{39},{253}>",278,0.380822
"<{4},{117}>",231,0.316438
"<{4},{143}>",292,0.400000
"<{4},{144}>",220,0.301370
"<{4},{245}>",273,0.373973
"<{4},{246}>",203,0.278082
"<{4},{253}>",354,0.484932
"<{4},{35}>",202,0.276712
"<{4},{8}>",210,0.287671
"<{4},{9}>",208,0.284932
"<{40},{253}>",251,0.343836
"<{41},{117}>",210,0.287671
"<{41},{143}>",259,0.354795
"<{41},{245}>",240,0.328767
"<{41},{253}>",310,0.424658
"<{42},{253}>",235,0.321918
"<{43},{253}>",227,0.310959
"<{44},{143}>",221,0.302740
"<{44},{245}>",207,0.283562
"<{44},{253}>",278,0.380822
"<{45},{143}>",218,0.298630
"<{45},{253}>",282,0.386301
"<{46},{143}>",214,0.293151
"<{46},{245}>",208,0.284932
"<{46},{253}>",272,0.372603
"<{47},{253}>",253,0.346575
"<{48},{253}>",250,0.342466
"<{49},{253}>",214,0.293151
"<{5},{117}>",202,0.276712
"<{5},{143}>",254,0.347945
"<{5},{245}>",239,0.327397
"<{5},{253}>",316,0.432877
"<{50},{253}>",237,0.324658
"<{51},{253}>",214,0.293151
"<{52},{253}>",220,0.301370
"<{53},{143}>",241,0.330137
"<{53},{245}>",229,0.313699
"<{53},{246}>",201,0.275342
"<{53},{253}>",295,0.404110
"<{54},{253}>",221,0.302740
"<{56},{253}>",207,0.283562
"<{58},{253}>",210,0.287671
"<{6},{143}>",205,0.280822
"<{6},{245}>",210,0.287671
"<{6},{253}>",291,0.398630
"<{7},{143}>",220,0.301370
"<{7},{245}>",208,0.284932
"<{7},{253}>",288,0.394521
"<{78},{117}>",288,0.394521
"<{78},{143}>",326,0.446575
"<{78},{144}>",204,0.279452
"<{78},{245}>",249,0.341096
"<{78},{246}>",225,0.308219
"<{78},{253}>",354,0.484932
"<{78},{79}>",281,0.384932
"<{79},{117}>",266,0.364384
"<{79},{143}>",298,0.408219
"<{79},{245}>",226,0.309589
"<{79},{246}>",201,0.275342
"<{79},{253}>",318,0.435616
"<{8},{1}>",289,0.395890
"<{8},{10}>",374,0.512329
"<{8},{11}>",343,0.469863
"<{8},{110}>",305,0.417808
"<{8},{113}>",283,0.387671
"<{8},{117}>",473,0.647945
"<{8},{118}>",361,0.494521
"<{8},{12}>",252,0.345205
"<{8},{13}>",346,0.473973
"<{8},{132}>",248,0.339726
"<{8},{133}>",286,0.391781
"<{8},{139}>",275,0.376712
"<{8},{14}>",300,0.410959
"<{8},{143}>",524,0.717808
"<{8},{144}>",376,0.515068
"<{8},{149}>",224,0.306849
"<{8},{15}>",279,0.382192
"<{8},{16}>",264,0.361644
"<{8},{17}>",486,0.665753
"<{8},{18}>",393,0.538356
"<{8},{19}>",315,0.431507
"<{8},{20}>",315,0.431507
"<{8},{21}>",238,0.326027
"<{8},{22}>",365,0.500000
"<{8},{23}>",331,0.453425
"<{8},{24}>",266,0.364384
"<{8},{245}>",466,0.638356
"<{8},{246}>",365,0.500000
"<{8},{25}>",235,0.321918
"<{8},{253}>",583,0.798630
"<{8},{26}>",458,0.627397
"<{8},{27}>",382,0.523288
"<{8},{28}>",320,0.438356
"<{8},{29}>",275,0.376712
"<{8},{30}>",269,0.368493
"<{8},{31}>",322,0.441096
"<{8},{32}>",291,0.398630
"<{8},{33}>",238,0.326027
"<{8},{34}>",252,0.345205
"<{8},{35}>",460,0.630137
"<{8},{36}>",403,0.552055
"<{8},{37}>",255,0.349315
"<{8},{38}>",264,0.361644
"<{8},{39}>",266,0.364384
"<{8},{40}>",249,0.341096
"<{8},{41}>",272,0.372603
"<{8},{42}>",225,0.308219
"<{8},{43}>",219,0.300000
"<{8},{44}>",234,0.320548
"<{8},{45}>",258,0.353425
"<{8},{46}>",231,0.316438
"<{8},{47}>",220,0.301370
"<{8},{48}>",222,0.304110
"<{8},{49}>",205,0.280822
"<{8},{50}>",212,0.290411
"<{8},{51}>",205,0.280822
"<{8},{52}>",204,0.279452
"<{8},{53}>",251,0.343836
"<{8},{54}>",200,0.273973
"<{8},{6}>",238,0.326027
"<{8},{7}>",249,0.341096
"<{8},{78}>",313,0.428767
"<{8},{79}>",285,0.390411
"<{8},{9}>",491,0.672603
"<{9},{10}>",311,0.426027
"<{9},{11}>",301,0.412329
"<{9},{110}>",268,0.367123
"<{9},{113}>",252,0.345205
"<{9},{117}>",434,0.594521
"<{9},{118}>",334,0.457534
"<{9},{12}>",204,0.279452
"<{9},{13}>",284,0.389041
"<{9},{132}>",238,0.326027
"<{9},{133}>",260,0.356164
"<{9},{139}>",257,0.352055
"<{9},{14}>",266,0.364384
"<{9},{143}>",484,0.663014
"<{9},{144}>",351,0.480822
"<{9},{149}>",211,0.289041
"<{9},{15}>",234,0.320548
"<{9},{16}>",231,0.316438
"<{9},{17}>",398,0.545205
"<{9},{18}>",358,0.490411
"<{9},{19}>",257,0.352055
"<{9},{20}>",271,0.371233
"<{9},{21}>",211,0.289041
"<{9},{22}>",299,0.409589
"<{9},{23}>",283,0.387671
"<{9},{24}>",232,0.317808
"<{9},{245}>",417,0.571233
"<{9},{246}>",338,0.463014
"<{9},{25}>",211,0.289041
"<{9},{253}>",539,0.738356
"<{9},{26}>",391,0.535616
"<{9},{27}>",333,0.456164
"<{9},{28}>",290,0.397260
"<{9},{29}>",246,0.336986
"<{9},{30}>",229,0.313699
"<{9},{31}>",263,0.360274
"<{9},{32}>",247,0.338356
"<{9},{34}>",226,0.309589
"<{9},{35}>",388,0.531507
"<{9},{36}>",349,0.478082
"<{9},{37}>",217,0.297260
"<{9},{38}>",218,0.298630
"<{9},{39}>",227,0.310959
"<{9},{40}>",217,0.297260
"<{9},{41}>",241,0.330137
"<{9},{44}>",200,0.273973
"<{9},{45}>",229,0.313699
"<{9},{46}>",212,0.290411
"<{9},{48}>",204,0.279452
"<{9},{53}>",231,0.316438
"<{9},{7}>",210,0.287671
"<{9},{78}>",272,0.372603
"<{9},{79}>",249,0.341096
"<{1},{10},{143}>",228,0.312329
"<{1},{10},{245}>",221,0.302740
"<{1},{10},{253}>",277,0.379452
"<{1},{11},{253}>",251,0.343836
"<{1},{110},{117}>",252,0.345205
"<{1},{110},{118}>",222,0.304110
"<{1},{110},{139}>",232,0.317808
"<{1},{110},{143}>",263,0.360274
"<{1},{110},{245}>",232,0.317808
"<{1},{110},{253}>",261,0.357534
"<{1},{113},{117}>",222,0.304110
"<{1},{113},{143}>",238,0.326027
"<{1},{113},{253}>",247,0.338356
"<{1},{117},{118}>",296,0.405479
"<{1},{117},{133}>",227,0.310959
"<{1},{117},{139}>",234,0.320548
"<{1},{117},{143}>",413,0.565753
"<{1},{117},{144}>",271,0.371233
"<{1},{117},{245}>",339,0.464384
"<{1},{117},{246}>",241,0.330137
"<{1},{117},{253}>",408,0.558904
"<{1},{118},{132}>",201,0.275342
"<{1},{118},{139}>",248,0.339726
"<{1},{118},{143}>",357,0.489041
"<{1},{118},{144}>",296,0.405479
"<{1},{118},{245}>",327,0.447945
"<{1},{118},{246}>",225,0.308219
"<{1},{118},{253}>",360,0.493151
"<{1},{12},{253}>",204,0.279452
"<{1},{13},{253}>",238,0.326027
"<{1},{132},{143}>",262,0.358904
"<{1},{132},{144}>",201,0.275342
"<{1},{132},{245}>",237,0.324658
"<{1},{132},{253}>",265,0.363014
"<{1},{133},{143}>",279,0.382192
"<{1},{133},{245}>",221,0.302740
"<{1},{133},{253}>",284,0.389041
"<{1},{139},{143}>",304,0.416438
"<{1},{139},{144}>",229,0.313699
"<{1},{139},{245}>",254,0.347945
"<{1},{139},{253}>",275,0.376712
"<{1},{14},{253}>",223,0.305479
"<{1},{143},{144}>",366,0.501370
"<{1},{143},{149}>",224,0.306849
"<{1},{143},{245}>",430,0.589041
"<{1},{143},{246}>",308,0.421918
"<{1},{143},{253}>",520,0.712329
"<{1},{144},{245}>",313,0.428767
"<{1},{144},{246}>",225,0.308219
"<{1},{144},{253}>",358,0.490411
"<{1},{149},{253}>",217,0.297260
"<{1},{15},{253}>",225,0.308219
"<{1},{16},{253}>",209,0.286301
"<{1},{17},{117}>",255,0.349315
"<{1},{17},{143}>",290,0.397260
"<{1},{17},{144}>",202,0.276712
"<{1},{17},{18}>",234,0.320548
"<{1},{17},{245}>",256,0.350685
"<{1},{17},{253}>",318,0.435616
"<{1},{17},{26}>",240,0.328767
"<{1},{17},{35}>",238,0.326027
"<{1},{18},{117}>",243,0.332877
"<{1},{18},{143}>",280,0.383562
"<{1},{18},{144}>",204,0.279452
"<{1},{18},{245}>",252,0.345205
"<{1},{18},{253}>",313,0.428767
"<{1},{18},{35}>",202,0.276712
"<{1},{19},{253}>",245,0.335616
"<{1},{20},{253}>",231,0.316438
"<{1},{22},{143}>",221,0.302740
"<{1},{22},{245}>",210,0.287671
"<{1},{22},{253}>",279,0.382192
"<{1},{23},{253}>",257,0.352055
"<{1},{245},{246}>",256,0.350685
"<{1},{245},{253}>",456,0.624658
"<{1},{246},{253}>",350,0.479452
"<{1},{26},{117}>",284,0.389041
"<{1},{26},{118}>",218,0.298630
"<{1},{26},{143}>",317,0.434247
"<{1},{26},{144}>",227,0.310959
"<{1},{26},{245}>",277,0.379452
"<{1},{26},{246}>",214,0.293151
"<{1},{26},{253}>",349,0.478082
"<{1},{26},{27}>",242,0.331507
"<{1},{26},{35}>",245,0.335616
"<{1},{26},{36}>",209,0.286301
"<{1},{27},{117}>",247,0.338356
"<{1},{27},{143}>",286,0.391781
"<{1},{27},{144}>",223,0.305479
"<{1},{27},{245}>",268,0.367123
"<{1},{27},{253}>",333,0.456164
"<{1},{28},{143}>",230,0.315068
"<{1},{28},{253}>",271,0.371233
"<{1},{29},{253}>",216,0.295890
"<{1},{31},{253}>",241,0.330137
"<{1},{32},{253}>",210,0.287671
"<{1},{34},{253}>",203,0.278082
"<{1},{35},{110}>",208,0.284932
"<{1},{35},{117}>",293,0.401370
"<{1},{35},{118}>",225,0.308219
"<{1},{35},{143}>",335,0.458904
"<{1},{35},{144}>",226,0.309589
"<{1},{35},{245}>",285,0.390411
"<{1},{35},{246}>",219,0.300000
"<{1},{35},{253}>",370,0.506849
"<{1},{35},{36}>",264,0.361644
"<{1},{36},{117}>",256,0.350685
"<{1},{36},{118}>",200,0.273973
"<{1},{36},{143}>",304,0.416438
"<{1},{36},{144}>",210,0.287671
"<{1},{36},{245}>",264,0.361644
"<{1},{36},{253}>",329,0.450685
"<{1},{38},{253}>",202,0.276712
"<{1},{39},{253}>",201,0.275342
"<{1},{41},{253}>",227,0.310959
"<{1},{45},{253}>",209,0.286301
"<{1},{53},{253}>",222,0.304110
"<{1},{6},{253}>",208,0.284932
"<{1},{7},{253}>",222,0.304110
"<{1},{78},{117}>",207,0.283562
"<{1},{78},{143}>",235,0.321918
"<{1},{78},{253}>",261,0.357534
"<{1},{79},{143}>",213,0.291781
"<{1},{79},{253}>",234,0.320548
"<{1},{8},{117}>",209,0.286301
"<{1},{8},{143}>",239,0.327397
"<{1},{8},{17}>",214,0.293151
"<{1},{8},{245}>",224,0.306849
"<{1},{8},{253}>",279,0.382192
"<{1},{8},{26}>",214,0.293151
"<{1},{8},{35}>",204,0.279452
"<{1},{8},{9}>",212,0.290411
"<{1},{9},{117}>",260,0.356164
"<{1},{9},{118}>",205,0.280822
"<{1},{9},{143}>",301,0.412329
"<{1},{9},{144}>",221,0.302740
"<{1},{9},{17}>",239,0.327397
